,,,,,,,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Performance,Performance,Expected,Expected,Expected,Expected,Expected,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
1,Max Aarons\774cf58b,eng ENG,DF,Norwich City,21-346,2000,17.0,0,9,2,22.2,0.53,0.12,0.00,0.00,20.2,0,0,0,0.6,0.6,0.06,-0.6,-0.6,Matches
2,Che Adams\f2bf1b0f,sct SCO,FW,Southampton,25-156,1996,9.5,3,21,11,52.4,2.20,1.15,0.14,0.27,14.5,0,0,0,2.4,2.4,0.11,+0.6,+0.6,Matches
3,Rayan Aït Nouri\9b398aea,fr FRA,DF,Wolves,20-193,2001,8.0,0,6,2,33.3,0.75,0.25,0.00,0.00,15.1,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches
4,Kristoffer Ajer\a8c0acb7,no NOR,DF,Brentford,23-243,1998,6.3,0,2,0,0.0,0.32,0.00,0.00,,9.9,0,0,0,0.2,0.2,0.09,-0.2,-0.2,Matches
5,Nathan Aké\eaeca114,nl NED,DF,Manchester City,26-301,1995,4.5,1,2,1,50.0,0.45,0.22,0.50,1.00,6.0,0,0,0,0.3,0.3,0.14,+0.7,+0.7,Matches
6,Marc Albrighton\b827d5b3,eng ENG,FWMF,Leicester City,32-028,1989,3.5,1,1,1,100.0,0.28,0.28,1.00,1.00,17.2,0,0,0,0.0,0.0,0.04,+1.0,+1.0,Matches
7,Thiago Alcántara\77e84962,es ESP,MF,Liverpool,30-249,1991,6.5,1,16,5,31.3,2.45,0.77,0.06,0.20,15.9,0,0,0,1.5,1.5,0.10,-0.5,-0.5,Matches
8,Trent Alexander-Arnold\cd1acf9d,eng ENG,DF,Liverpool,23-070,1998,13.7,1,25,7,28.0,1.82,0.51,0.04,0.14,21.6,3,0,0,1.7,1.7,0.07,-0.7,-0.7,Matches
9,Alisson\7a2e46a8,br BRA,GK,Liverpool,29-075,1992,15.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
10,Allan\cc700722,br BRA,MF,Everton,30-342,1991,14.7,0,3,1,33.3,0.20,0.07,0.00,0.00,23.4,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
